ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
1; 2025-02-12 10:11:27; True; 0.00; 0.00; 0.00; rechts
1; 2025-02-12 10:11:27; True; 0.00; 0.00; 0.00; rechts
1; 2025-02-12 10:11:27; False; 2.17; 125.43; 0.00; links
1; 2025-02-12 10:11:27; False; 7.58; 63.00; 0.00; links
1; 2025-02-12 10:11:27; False; 4.86; 36.61; 0.00; links
1; 2025-02-12 10:11:27; True; 0.28; 113.18; 0.00; rechts
1; 2025-02-12 10:11:27; False; 2.87; 144.34; 0.00; rechts
1; 2025-02-12 10:11:27; False; 10.85; 53.77; 0.00; links
1; 2025-02-12 10:11:27; False; 1.57; 108.12; 0.00; rechts
1; 2025-02-12 10:11:27; False; 4.93; 99.88; 0.00; links
1; 2025-02-12 10:11:27; True; 0.57; 140.65; 0.00; rechts
1; 2025-02-12 10:11:27; False; 9.28; 46.94; 0.00; rechts
1; 2025-02-12 10:11:27; False; 2.85; 95.66; 0.00; links
1; 2025-02-12 10:11:27; False; 3.77; 50.37; 0.00; links
1; 2025-02-12 10:11:27; False; 33.74; 166.20; 0.00; rechts
1; 2025-02-12 10:11:27; False; 11.72; 77.12; 0.00; links
1; 2025-02-12 10:11:27; False; 4.40; 15.36; 0.00; links
1; 2025-02-12 10:11:27; False; 14.32; 21.86; 0.00; links
1; 2025-02-12 10:11:27; False; 13.50; 175.38; 0.00; rechts
1; 2025-02-12 10:11:27; False; 18.11; 29.52; 0.00; links
1; 2025-02-12 10:11:27; True; 0.42; 63.35; 0.00; rechts
1; 2025-02-12 10:11:27; False; 4.29; 30.77; 0.00; rechts
1; 2025-02-12 10:11:27; False; 4.93; 76.74; 0.00; links
1; 2025-02-12 10:11:27; False; 0.38; 140.18; 0.00; rechts
1; 2025-02-12 10:11:27; False; 7.84; 54.12; 0.00; rechts
1; 2025-02-12 10:11:27; False; 11.66; 21.43; 0.00; rechts
1; 2025-02-12 10:11:27; True; 2.48; 67.54; 0.00; rechts
1; 2025-02-12 10:11:27; False; 5.93; 44.01; 0.00; rechts
1; 2025-02-12 10:11:27; False; 12.52; 51.15; 0.00; rechts
1; 2025-02-12 10:11:27; True; 0.52; 132.61; 0.00; rechts
1; 2025-02-12 10:11:27; False; 35.14; 42.25; 0.00; rechts
1; 2025-02-12 10:11:27; False; 11.90; 73.64; 0.00; links
1; 2025-02-12 10:26:27; False; 3.37; 75.27; 0.00; rechts
1; 2025-02-12 10:26:27; False; 0.20; 90.99; 0.00; rechts
3; 2025-02-12 10:39:43; False; 6.39; 24.91; 0.00; links
3; 2025-02-12 10:39:43; False; 5.12; 40.31; 0.00; links
3; 2025-02-12 10:39:43; False; 0.50; 118.79; 0.00; links
3; 2025-02-12 10:39:43; False; 9.48; 25.52; 0.00; links
3; 2025-02-12 10:39:43; True; 0.57; 136.67; 0.00; rechts
3; 2025-02-12 10:39:43; False; 3.49; 40.14; 0.00; links
3; 2025-02-12 10:39:43; False; 2.05; 38.65; 0.00; links
3; 2025-02-12 10:39:43; False; 10.00; 32.20; 0.00; links
3; 2025-02-12 10:39:43; False; 0.92; 38.48; 0.00; links
21; 2025-02-12 10:56:18; False; 285.08; 22.89; 0.00; rechts
21; 2025-02-12 10:56:18; True; 0.00; 0.00; 0.00; rechts
21; 2025-02-12 10:56:18; False; 32.23; 5.03; 0.00; rechts
21; 2025-02-12 10:56:18; False; 339.77; 12.04; 0.00; links
21; 2025-02-12 10:56:18; False; 337.84; 8.35; 0.00; links
21; 2025-02-12 10:56:18; False; 5.92; 91.63; 0.00; rechts
21; 2025-02-12 10:56:18; False; 345.93; 8.86; 0.00; rechts
21; 2025-02-12 10:56:18; False; 341.12; 5.23; 0.00; links
21; 2025-02-12 10:56:18; False; 324.53; 2.92; 0.00; links
21; 2025-02-12 10:56:18; False; 17.64; 2.98; 0.00; rechts
21; 2025-02-12 10:56:18; False; 341.03; 4.89; 0.00; links
21; 2025-02-12 10:56:18; False; 332.51; 8.58; 0.00; links
21; 2025-02-12 10:56:18; False; 24.08; 17.53; 0.00; rechts
21; 2025-02-12 10:56:18; True; 0.89; 130.39; 0.00; rechts
21; 2025-02-12 10:56:18; False; 343.23; 10.87; 0.00; rechts
21; 2025-02-12 10:56:18; False; 355.16; 11.42; 0.00; rechts
21; 2025-02-12 10:56:18; False; 42.47; 11.37; 0.00; links
21; 2025-02-12 10:56:18; False; 7.56; 20.57; 0.00; links
21; 2025-02-12 10:56:18; False; 7.79; 8.76; 0.00; links
21; 2025-02-12 10:56:18; False; 153.37; 4.03; 0.00; rechts
21; 2025-02-12 10:56:18; False; 55.50; 6.13; 0.00; rechts
21; 2025-02-12 10:56:18; False; 193.49; 18.64; 0.00; rechts
21; 2025-02-12 10:56:18; False; 167.53; 7.28; 0.00; rechts
21; 2025-02-12 10:56:18; True; 0.00; 0.00; 0.00; rechts
21; 2025-02-12 10:56:18; True; 0.00; 0.00; 0.00; rechts
21; 2025-02-12 10:56:18; False; 11.96; 147.95; 0.00; links
21; 2025-02-12 10:56:18; False; 20.36; 14.86; 0.00; links
21; 2025-02-12 10:56:18; False; 42.90; 6.74; 0.00; links
21; 2025-02-12 10:56:18; False; 9.04; 13.85; 0.00; rechts
21; 2025-02-12 10:56:18; False; 7.48; 20.85; 0.00; rechts
21; 2025-02-12 10:56:18; False; 169.10; 20.26; 0.00; links
24; 2025-02-12 11:21:12; False; 89.90; 15.93; 0.00; rechts
24; 2025-02-12 11:21:12; False; 262.93; 12.66; 0.00; rechts
24; 2025-02-12 11:21:12; False; 361.30; 9.95; 0.00; rechts
24; 2025-02-12 11:21:12; False; 377.53; 5.32; 0.00; rechts
24; 2025-02-12 11:21:12; False; 352.59; 17.21; 0.00; rechts
24; 2025-02-12 11:21:12; False; 147.60; 11.46; 0.00; rechts
24; 2025-02-12 11:21:12; False; 35.87; 16.34; 0.00; rechts
24; 2025-02-12 11:21:12; False; 28.08; 18.86; 0.00; rechts
24; 2025-02-12 11:21:12; True; 0.04; 170.01; 0.00; rechts
24; 2025-02-12 11:21:12; True; 9.50; 12.33; 0.00; rechts
24; 2025-02-12 11:21:12; True; 41.06; 8.89; 0.00; rechts
24; 2025-02-12 11:21:12; False; 72.03; 3.40; 0.00; rechts
24; 2025-02-12 11:21:12; False; 128.90; 21.22; 0.00; rechts
24; 2025-02-12 11:21:12; False; 156.50; 11.43; 0.00; rechts
24; 2025-02-12 11:21:12; False; 41.89; 5.25; 0.00; rechts
24; 2025-02-12 11:21:12; False; 12.71; 1.53; 0.00; links
