ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
5; 2025-02-12 10:18:57; False; 0,09; 139,25; 0,00; links
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,16; 159,02; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,05; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,13; 169,31; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,80; 175,68; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,77; 154,34; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 1,02; 132,19; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,84; 146,23; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,65; 144,88; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,10; 156,35; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,87; 145,54; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,95; 100,55; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,55; 149,89; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,94; 160,25; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; True; 5,09; 150,96; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,57; 39,99; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,26; 137,83; 0,00; rechts
5; 2025-02-12 10:18:57; True; 1,08; 135,32; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,58; 99,52; 0,00; rechts
5; 2025-02-12 10:18:57; True; 1,60; 93,19; 0,00; rechts
5; 2025-02-12 10:18:57; False; 2,62; 147,01; 0,00; links
5; 2025-02-12 10:18:57; False; 5,42; 142,49; 0,00; rechts
5; 2025-02-12 10:18:57; True; 4,12; 144,81; 0,00; links
5; 2025-02-12 10:18:57; True; 0,73; 119,70; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,20; 122,28; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,39; 135,47; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,79; 161,40; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,14; 130,03; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,68; 163,15; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,62; 158,59; 0,00; rechts
5; 2025-02-12 10:18:57; False; 1,86; 161,95; 0,00; links
5; 2025-02-12 10:18:57; False; 30,68; 42,94; 0,00; links
5; 2025-02-12 10:18:57; False; 23,07; 34,03; 0,00; rechts
5; 2025-02-12 10:18:57; False; 163,48; 25,19; 0,00; rechts
5; 2025-02-12 10:18:57; False; 330,63; 10,59; 0,00; rechts
5; 2025-02-12 10:18:57; True; 0,00; 0,00; 0,00; rechts
5; 2025-02-12 10:18:57; False; 319,58; 12,62; 0,00; rechts
5; 2025-02-12 10:18:57; False; 275,54; 2,76; 0,00; rechts
5; 2025-02-12 10:18:57; False; 257,75; 9,62; 0,00; rechts
5; 2025-02-12 10:18:57; True; 2,92; 8,37; 0,00; rechts
5; 2025-02-12 10:18:57; False; 101,11; 17,73; 0,00; rechts
5; 2025-02-12 10:18:57; False; 0,98; 133,76; 0,00; links
10; 2025-02-12 10:40:53; False; 1,81; 109,86; 0,00; rechts
10; 2025-02-12 10:40:53; False; 5,39; 40,05; 0,00; rechts
18; 2025-02-12 10:59:59; False; 316,80; 4,80; 0,00; links
18; 2025-02-12 10:59:59; True; 88,59; 6,18; 0,00; rechts
18; 2025-02-12 10:59:59; False; 64,16; 9,54; 0,00; links
18; 2025-02-12 10:59:59; False; 248,21; 8,38; 0,00; links
18; 2025-02-12 10:59:59; False; 13,55; 8,59; 0,00; links
18; 2025-02-12 10:59:59; False; 12,69; 12,44; 0,00; links
18; 2025-02-12 10:59:59; False; 23,12; 12,98; 0,00; rechts
18; 2025-02-12 10:59:59; False; 251,84; 16,98; 0,00; links
18; 2025-02-12 10:59:59; False; 29,74; 34,25; 0,00; links
18; 2025-02-12 10:59:59; False; 142,13; 18,04; 0,00; links
18; 2025-02-12 10:59:59; False; 125,87; 25,46; 0,00; links
18; 2025-02-12 10:59:59; False; 19,33; 14,31; 0,00; links
18; 2025-02-12 10:59:59; True; 0,12; 141,23; 0,00; rechts
18; 2025-02-12 10:59:59; False; 1,64; 154,38; 0,00; rechts
18; 2025-02-12 10:59:59; False; 32,17; 10,14; 0,00; links
18; 2025-02-12 10:59:59; False; 3,22; 110,07; 0,00; links
18; 2025-02-12 10:59:59; False; 9,78; 8,73; 0,00; links
18; 2025-02-12 10:59:59; False; 259,50; 33,99; 0,00; links
18; 2025-02-12 10:59:59; False; 161,87; 10,16; 0,00; links
18; 2025-02-12 10:59:59; False; 366,04; 10,97; 0,00; links
18; 2025-02-12 10:59:59; False; 273,46; 11,04; 0,00; links
18; 2025-02-12 10:59:59; False; 7,15; 2,35; 0,00; links
26; 2025-02-12 11:17:11; False; 8,21; 160,24; 0,00; links
26; 2025-02-12 11:17:11; False; 0,82; 172,21; 0,00; rechts
26; 2025-02-12 11:17:11; False; 74,08; 2,16; 0,00; rechts
26; 2025-02-12 11:17:11; False; 18,29; 12,04; 0,00; rechts
26; 2025-02-12 11:17:11; False; 50,67; 9,59; 0,00; links
26; 2025-02-12 11:17:11; False; 1,35; 10,96; 0,00; rechts
26; 2025-02-12 11:17:11; False; 9,07; 16,05; 0,00; links
26; 2025-02-12 11:17:11; False; 0,89; 101,41; 0,00; links
26; 2025-02-12 11:17:11; False; 22,36; 15,75; 0,00; links
26; 2025-02-12 11:17:11; False; 7,50; 7,55; 0,00; links
26; 2025-02-12 11:17:11; False; 17,68; 10,49; 0,00; links
26; 2025-02-12 11:17:11; True; 65,11; 6,04; 0,00; rechts
26; 2025-02-12 11:17:11; False; 2,72; 8,29; 0,00; rechts
26; 2025-02-12 11:17:11; False; 11,05; 15,07; 0,00; rechts
26; 2025-02-12 11:17:11; False; 13,48; 8,21; 0,00; rechts
26; 2025-02-12 11:17:11; False; 33,05; 22,89; 0,00; rechts
26; 2025-02-12 11:17:11; False; 10,58; 13,35; 0,00; links
