ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
51; 2025-02-27 09:04:13; False; 360,76; 11,62; 0,00; rechts
51; 2025-02-27 09:04:21; False; 352,18; 10,49; 0,00; rechts
51; 2025-02-27 09:04:27; False; 63,36; 123,20; 0,00; links
51; 2025-02-27 09:04:33; False; 355,97; 1,87; 0,00; rechts
51; 2025-02-27 09:04:40; False; 0,38; 135,55; 0,00; rechts
51; 2025-02-27 09:04:41; False; 0,08; 153,01; 0,00; rechts
51; 2025-02-27 09:04:43; False; 0,14; 158,56; 0,00; rechts
51; 2025-02-27 09:04:44; False; 0,07; 160,60; 0,00; rechts
51; 2025-02-27 09:04:44; False; 0,00; 0,00; 0,00; rechts
51; 2025-02-27 09:04:45; False; 1,00; 132,14; 0,00; rechts
51; 2025-02-27 09:04:50; False; 28,73; 125,22; 0,00; links
51; 2025-02-27 09:04:58; False; 351,27; 9,67; 0,00; rechts
51; 2025-02-27 09:05:04; False; 375,72; 10,83; 0,00; rechts
51; 2025-02-27 09:05:11; False; 311,12; 22,87; 0,00; rechts
51; 2025-02-27 09:05:30; False; 317,90; 17,32; 0,00; rechts
51; 2025-02-27 09:05:33; False; 3,16; 27,75; 0,00; rechts
51; 2025-02-27 09:05:39; False; 105,54; 40,81; 0,00; rechts
51; 2025-02-27 09:05:44; False; 229,08; 1,67; 0,00; rechts
51; 2025-02-27 09:05:50; False; 39,68; 5,80; 0,00; rechts
51; 2025-02-27 09:05:54; False; 148,85; 6,21; 0,00; rechts
51; 2025-02-27 09:06:05; False; 15,10; 4,25; 0,00; links
51; 2025-02-27 09:06:09; True; 169,27; 3,99; 0,00; rechts
51; 2025-02-27 09:06:16; False; 137,47; 13,39; 0,00; rechts
51; 2025-02-27 09:06:23; False; 127,61; 7,41; 0,00; rechts
51; 2025-02-27 09:06:29; True; 320,96; 0,67; 0,00; links
51; 2025-02-27 09:06:35; False; 11,69; 7,55; 0,00; links
51; 2025-02-27 09:06:42; False; 390,34; 3,75; 0,00; rechts
51; 2025-02-27 09:06:49; False; 20,37; 25,42; 0,00; links
51; 2025-02-27 09:06:54; False; 121,29; 8,55; 0,00; links
51; 2025-02-27 09:07:00; False; 46,93; 7,14; 0,00; links
