ID,Date,Success,Distance,Fall Velocity,Pass Time,Source
6, - ,Reset Count, 6,,,EntgegenFangen_6.csv
33, - ,Reset Count,19.0,,,EntgegenFangen_33.csv
48, - ,Reset Count,5.0,,,EntgegenFangen_48.csv
31, - ,Reset Count,10.0,,,EntgegenFangen_31.csv
45, - ,Reset Count,24.0,,,EntgegenFangen_45.csv
41, - ,Reset Count,15.0,,,EntgegenFangen_41.csv
44, - ,Reset Count,19.0,,,EntgegenFangen_44.csv
34, - ,Reset Count,1.0,,,EntgegenFangen_34.csv
6, - ,Reset Count, 5,,,EntgegenFangen_6.csv
57, - ,Reset Count,4.0,,,EntgegenFangen_57.csv
59, - ,Reset Count,7.0,,,EntgegenFangen_59.csv
49, - ,Reset Count,5.0,,,EntgegenFangen_49.csv
54, - ,Reset Count,17.0,,,EntgegenFangen_54.csv
32, - ,Reset Count,10.0,,,EntgegenFangen_32.csv
41, - ,Reset Count,19.0,,,EntgegenFangen_41.csv
42, - ,Reset Count,7.0,,,EntgegenFangen_42.csv
56, - ,Reset Count,8.0,,,EntgegenFangen_56.csv
58, - ,Reset Count,2.0,,,EntgegenFangen_58.csv
35, - ,Reset Count,19.0,,,EntgegenFangen_35.csv
38, - ,Reset Count,9.0,,,EntgegenFangen_38.csv
33, - ,Reset Count,-1.0,,,EntgegenFangen_33.csv
50, - ,Reset Count,20.0,,,EntgegenFangen_50.csv
44, - ,Reset Count,8.0,,,EntgegenFangen_44.csv
53, - ,Reset Count,29.0,,,EntgegenFangen_53.csv
51, - ,Reset Count,4.0,,,EntgegenFangen_51.csv
48, - ,Reset Count, 19,,,EntgegenFangen_48.csv
45, - ,Reset Count,13.0,,,EntgegenFangen_45.csv
36, - ,Reset Count,14.0,,,EntgegenFangen_36.csv
27, - ,Reset Count,13.0,,,EntgegenFangen_27.csv
9, - ,Reset Count,12.0,,,EntgegenFangen_9.csv
37, - ,Reset Count, 4,,,EntgegenFangen_37.csv
22, - ,Reset Count,10.0,,,EntgegenFangen_22.csv
16, - ,Reset Count,22.0,,,EntgegenFangen_16.csv
1, - ,Reset Count,8.0,,,EntgegenFangen_1.csv
24, - ,Reset Count, 12,,,EntgegenFangen_24.csv
53, - ,Reset Count, 3,,,EntgegenFangen_53.csv
46, - ,Reset Count, 22,,,EntgegenFangen_46.csv
38, - ,Reset Count,7.0,,,EntgegenFangen_38.csv
30, - ,Reset Count,6.0,,,EntgegenFangen_30.csv
20, - ,Reset Count, 13,,,EntgegenFangen_20.csv
6, - ,Reset Count, 5,,,EntgegenFangen_6.csv
10, - ,Reset Count, 3,,,EntgegenFangen_10.csv
57, - ,Reset Count,10.0,,,EntgegenFangen_57.csv
55, - ,Reset Count,10.0,,,EntgegenFangen_55.csv
42, - ,Reset Count,18.0,,,EntgegenFangen_42.csv
30, - ,Reset Count,19.0,,,EntgegenFangen_30.csv
48, - ,Reset Count,20.0,,,EntgegenFangen_48.csv
47, - ,Reset Count,22.0,,,EntgegenFangen_47.csv
52, - ,Reset Count,1.0,,,EntgegenFangen_52.csv
60, - ,Reset Count,6.0,,,EntgegenFangen_60.csv
43, - ,Reset Count,9.0,,,EntgegenFangen_43.csv
55, - ,Reset Count,12.0,,,EntgegenFangen_55.csv
31, - ,Reset Count, 14,,,EntgegenFangen_31.csv
40, - ,Reset Count, 26,,,EntgegenFangen_40.csv
57, - ,Reset Count, 12,,,EntgegenFangen_57.csv
37, - ,Reset Count, 13,,,EntgegenFangen_37.csv
39, - ,Reset Count, 3,,,EntgegenFangen_39.csv
60, - ,Reset Count, 8,,,EntgegenFangen_60.csv
27, - ,Reset Count,18.0,,,EntgegenFangen_27.csv
20, - ,Reset Count,17.0,,,EntgegenFangen_20.csv
12, - ,Reset Count,-1.0,,,EntgegenFangen_12.csv
4, - ,Reset Count,15.0,,,EntgegenFangen_4.csv
22, - ,Reset Count,15.0,,,EntgegenFangen_22.csv
8, - ,Reset Count,11.0,,,EntgegenFangen_8.csv
14, - ,Reset Count,8.0,,,EntgegenFangen_14.csv
28, - ,Reset Count,20.0,,,EntgegenFangen_28.csv
26, - ,Reset Count,19.0,,,EntgegenFangen_26.csv
11, - ,Reset Count,8.0,,,EntgegenFangen_11.csv
2, - ,Reset Count,7.0,,,EntgegenFangen_2.csv
17, - ,Reset Count,15.0,,,EntgegenFangen_17.csv
21, - ,Reset Count,18.0,,,EntgegenFangen_21.csv
9, - ,Reset Count,3.0,,,EntgegenFangen_9.csv
13, - ,Reset Count,6.0,,,EntgegenFangen_13.csv
18, - ,Reset Count,1.0,,,EntgegenFangen_18.csv
24, - ,Reset Count,4.0,,,EntgegenFangen_24.csv
10, - ,Reset Count,3.0,,,EntgegenFangen_10.csv
1, - ,Reset Count,19.0,,,EntgegenFangen_1.csv
16, - ,Reset Count, 21,,,EntgegenFangen_16.csv
31, - ,Reset Count, 25,,,EntgegenFangen_31.csv
51, - ,Reset Count, 23,,,EntgegenFangen_51.csv
29, - ,Reset Count,2.0,,,EntgegenFangen_29.csv
47, - ,Reset Count,18.0,,,EntgegenFangen_47.csv
51, - ,Reset Count, 25,,,EntgegenFangen_51.csv
49, - ,Reset Count,4.0,,,EntgegenFangen_49.csv
29, - ,Reset Count,2.0,,,EntgegenFangen_29.csv
39, - ,Reset Count,3.0,,,EntgegenFangen_39.csv
40, - ,Reset Count,22.0,,,EntgegenFangen_40.csv
43, - ,Reset Count,9.0,,,EntgegenFangen_43.csv
60, - ,Reset Count,5.0,,,EntgegenFangen_60.csv
37, - ,Reset Count,11.0,,,EntgegenFangen_37.csv
35, - ,Reset Count,21.0,,,EntgegenFangen_35.csv
53, - ,Reset Count,23.0,,,EntgegenFangen_53.csv
45, - ,Reset Count,18.0,,,EntgegenFangen_45.csv
59, - ,Reset Count, 8,,,EntgegenFangen_59.csv
36, - ,Reset Count,24.0,,,EntgegenFangen_36.csv
56, - ,Reset Count,14.0,,,EntgegenFangen_56.csv
46, - ,Reset Count,32.0,,,EntgegenFangen_46.csv
36, - ,Reset Count,14.0,,,EntgegenFangen_36.csv
50, - ,Reset Count,26.0,,,EntgegenFangen_50.csv
33, - ,Reset Count,21.0,,,EntgegenFangen_33.csv
55, - ,Reset Count,10.0,,,EntgegenFangen_55.csv
52, - ,Reset Count,1.0,,,EntgegenFangen_52.csv
44, - ,Reset Count,22.0,,,EntgegenFangen_44.csv
32, - ,Reset Count,19.0,,,EntgegenFangen_32.csv
54, - ,Reset Count,20.0,,,EntgegenFangen_54.csv
42, - ,Reset Count,6.0,,,EntgegenFangen_42.csv
41, - ,Reset Count,18.0,,,EntgegenFangen_41.csv
56, - ,Reset Count,18.0,,,EntgegenFangen_56.csv
23, - ,Reset Count, 8,,,EntgegenFangen_23.csv
39, - ,Reset Count,4.0,,,EntgegenFangen_39.csv
24, - ,Reset Count,8.0,,,EntgegenFangen_24.csv
33, - ,Reset Count, 21,,,EntgegenFangen_33.csv
55, - ,Reset Count, 4,,,EntgegenFangen_55.csv
54, - ,Reset Count, 17,,,EntgegenFangen_54.csv
45, - ,Reset Count, 18,,,EntgegenFangen_45.csv
49, - ,Reset Count,4.0,,,EntgegenFangen_49.csv
29, - ,Reset Count,1.0,,,EntgegenFangen_29.csv
31, - ,Reset Count,24.0,,,EntgegenFangen_31.csv
41, - ,Reset Count,21.0,,,EntgegenFangen_41.csv
57, - ,Reset Count,16.0,,,EntgegenFangen_57.csv
58, - ,Reset Count,4.0,,,EntgegenFangen_58.csv
12, - ,Reset Count,34.0,,,EntgegenFangen_12.csv
32, - ,Reset Count,-1.0,,,EntgegenFangen_32.csv
50, - ,Reset Count,23.0,,,EntgegenFangen_50.csv
37, - ,Reset Count,7.0,,,EntgegenFangen_37.csv
59, - ,Reset Count,10.0,,,EntgegenFangen_59.csv
36, - ,Reset Count,-1.0,,,EntgegenFangen_36.csv
21, - ,Reset Count,13.0,,,EntgegenFangen_21.csv
7, - ,Reset Count,3.0,,,EntgegenFangen_7.csv
14, - ,Reset Count,10.0,,,EntgegenFangen_14.csv
2, - ,Reset Count,3.0,,,EntgegenFangen_2.csv
35, - ,Reset Count,11.0,,,EntgegenFangen_35.csv
46, - ,Reset Count,32.0,,,EntgegenFangen_46.csv
51, - ,Reset Count,15.0,,,EntgegenFangen_51.csv
40, - ,Reset Count,23.0,,,EntgegenFangen_40.csv
19, - ,Reset Count,10.0,,,EntgegenFangen_19.csv
4, - ,Reset Count,14.0,,,EntgegenFangen_4.csv
26, - ,Reset Count,21.0,,,EntgegenFangen_26.csv
23, - ,Reset Count, 10,,,EntgegenFangen_23.csv
9, - ,Reset Count, 10,,,EntgegenFangen_9.csv
18, - ,Reset Count,1.0,,,EntgegenFangen_18.csv
16, - ,Reset Count,25.0,,,EntgegenFangen_16.csv
28, - ,Reset Count,25.0,,,EntgegenFangen_28.csv
8, - ,Reset Count,8.0,,,EntgegenFangen_8.csv
21, - ,Reset Count,25.0,,,EntgegenFangen_21.csv
1, - ,Reset Count,12.0,,,EntgegenFangen_1.csv
13, - ,Reset Count,9.0,,,EntgegenFangen_13.csv
22, - ,Reset Count,19.0,,,EntgegenFangen_22.csv
23, - ,Reset Count,9.0,,,EntgegenFangen_23.csv
26, - ,Reset Count,11.0,,,EntgegenFangen_26.csv
5, - ,Reset Count,1.0,,,EntgegenFangen_5.csv
2, - ,Reset Count,8.0,,,EntgegenFangen_2.csv
14, - ,Reset Count,11.0,,,EntgegenFangen_14.csv
20, - ,Reset Count,10.0,,,EntgegenFangen_20.csv
13, - ,Reset Count,15.0,,,EntgegenFangen_13.csv
12, - ,Reset Count,32.0,,,EntgegenFangen_12.csv
3, - ,Reset Count,-1.0,,,EntgegenFangen_3.csv
27, - ,Reset Count,22.0,,,EntgegenFangen_27.csv
17, - ,Reset Count,17.0,,,EntgegenFangen_17.csv
7, - ,Reset Count,22.0,,,EntgegenFangen_7.csv
11, - ,Reset Count,18.0,,,EntgegenFangen_11.csv
18, - ,Reset Count,1.0,,,EntgegenFangen_18.csv
11, - ,Reset Count,2.0,,,EntgegenFangen_11.csv
8, - ,Reset Count,12.0,,,EntgegenFangen_8.csv
44, - ,Reset Count,18.0,,,EntgegenFangen_44.csv
47, - ,Reset Count,28.0,,,EntgegenFangen_47.csv
38, - ,Reset Count,9.0,,,EntgegenFangen_38.csv
43, - ,Reset Count,18.0,,,EntgegenFangen_43.csv
53, - ,Reset Count,16.0,,,EntgegenFangen_53.csv
28, - ,Reset Count,12.0,,,EntgegenFangen_28.csv
60, - ,Reset Count,8.0,,,EntgegenFangen_60.csv
4, - ,Reset Count,9.0,,,EntgegenFangen_4.csv
48, - ,Reset Count,11.0,,,EntgegenFangen_48.csv
1, 2025-02-12 10:14:27, Reset Count,4.0,,,EntgegenFangen.csv
1, 2025-02-12 10:14:27, False,1.37,0.0,1.5,EntgegenFangen.csv
1, 2025-02-12 10:14:27, False,0.96,0.0,1.5,EntgegenFangen.csv
1, 2025-02-12 10:14:27, False,0.9,0.0,1.5,EntgegenFangen.csv
1, 2025-02-12 10:14:27, False,0.45,0.0,1.5,EntgegenFangen.csv
5, 2025-02-12 10:21:57, Reset Count, 3,,,EntgegenFangen.csv
5, 2025-02-12 10:21:57, True," 0,54"," 0,00"," 1,50",EntgegenFangen.csv
5, 2025-02-12 10:21:57, False," 8,91"," 0,00"," 1,50",EntgegenFangen.csv
5, 2025-02-12 10:21:57, False," 1,95"," 0,00"," 1,50",EntgegenFangen.csv
5, 2025-02-12 10:21:57, False," 4,34"," 0,00"," 1,50",EntgegenFangen.csv
6, 2025-02-12 10:23:37, False,0.25,0.0,1.5,EntgegenFangen.csv
6, 2025-02-12 10:23:37, False,0.44,0.0,1.5,EntgegenFangen.csv
6, 2025-02-12 10:23:37, False,4.55,0.0,1.5,EntgegenFangen.csv
6, 2025-02-12 10:23:37, False,1.62,0.0,1.5,EntgegenFangen.csv
6, 2025-02-12 10:23:37, False,1.68,0.0,1.5,EntgegenFangen.csv
6, 2025-02-12 10:23:37, False,1.12,0.0,1.5,EntgegenFangen.csv
6, 2025-02-12 10:23:37, Reset Count,4.0,,,EntgegenFangen.csv
6, 2025-02-12 10:23:37, False,0.89,0.0,1.5,EntgegenFangen.csv
6, 2025-02-12 10:23:37, False,1.03,0.0,1.5,EntgegenFangen.csv
6, 2025-02-12 10:23:37, False,0.37,0.0,1.5,EntgegenFangen.csv
6, 2025-02-12 10:23:37, True,1.03,0.0,1.5,EntgegenFangen.csv
6, 2025-02-12 10:23:37, False,0.25,0.0,1.5,EntgegenFangen.csv
7, 2025-02-12 10:26:06, Reset Count,1.0,,,EntgegenFangen.csv
7, 2025-02-12 10:26:06, False,0.99,0.0,1.5,EntgegenFangen.csv
7, 2025-02-12 10:26:06, False,2.06,0.0,1.5,EntgegenFangen.csv
1, 2025-02-12 10:30:12, Reset Count,2.0,,,EntgegenFangen.csv
12, 2025-02-12 10:41:16, False,0.41,0.0,1.5,EntgegenFangen.csv
12, 2025-02-12 10:41:16, False,0.73,0.0,1.5,EntgegenFangen.csv
12, 2025-02-12 10:41:16, False,1.78,0.0,1.5,EntgegenFangen.csv
12, 2025-02-12 10:41:16, False,3.53,0.0,1.5,EntgegenFangen.csv
12, 2025-02-12 10:41:16, Reset Count,17.0,,,EntgegenFangen.csv
3, 2025-02-12 10:42:43, Reset Count,6.0,,,EntgegenFangen.csv
10, 2025-02-12 10:43:53, Reset Count, 1,,,EntgegenFangen.csv
13, 2025-02-12 10:43:54, False,4.16,0.0,1.5,EntgegenFangen.csv
13, 2025-02-12 10:43:54, False,1.06,0.0,1.5,EntgegenFangen.csv
13, 2025-02-12 10:43:54, False,2.42,0.0,1.5,EntgegenFangen.csv
13, 2025-02-12 10:43:54, False,0.14,0.0,1.5,EntgegenFangen.csv
13, 2025-02-12 10:43:54, False,0.91,0.0,1.5,EntgegenFangen.csv
13, 2025-02-12 10:43:54, False,0.46,0.0,1.5,EntgegenFangen.csv
13, 2025-02-12 10:43:54, False,0.5,0.0,1.5,EntgegenFangen.csv
13, 2025-02-12 10:43:54, False,0.19,0.0,1.5,EntgegenFangen.csv
13, 2025-02-12 10:43:54, False,0.95,0.0,1.5,EntgegenFangen.csv
13, 2025-02-12 10:43:54, Reset Count,1.0,,,EntgegenFangen.csv
