ID,Gender
1,w
2,w
3,w
4,w
5,w
6,m
7,w
8,m
9,w
10,w
11,m
12,m
13,m
14,m
15,w
16,m
17,m
18,w
19,m
20,m
21,w
22,w
23,m
24,w
25,w
26,w
27,w
28,m
29,w
30,m
31,m
32,m
33,m
34,w
35,m
36,m
37,m
38,m
39,m
40,m
41,w
42,m
43,m
44,m
45,w
46,m
47,m
48,w
49,m
50,m
51,w
52,w
53,m
54,m
55,w
56,w
57,m
58,w
59,m
60,m
61,w
62,m
63,w
64,w
65,w
66,w
67,m
68,w
69,w
70,m
71,m
72,w
73,m
74,w
75,w
76,w
77,w
78,m
79,m
80,w
81,m
82,w
83,w
84,m
85,m
86,m
87,w
88,w
89,m
90,w
91,m
92,w
93,m
94,w
95,w
96,m
97,w
98,w
99,m
100,w
101,m
102,w
103,m
104,m
105,m
106,w
107,m
108,m
109,w
110,m
111,m
112,m
113,m
114,m
115,m
116,m
117,m
118,m
119,m
120,m
121,w
122,w
123,w
124,m
125,w
126,w
127,m
128,w
129,w
130,w
131,w
132,m
133,m
134,m
135,m
136,m
137,w
138,m
139,w
140,m
141,m
142,m
143,w
144,m
145,w
146,w
147,w
148,w
149,m
150,w
151,w
