ID,Group,Week1,Week2,Week3,Week4,Slope,Improvement_%
1,VR,1.8,2.2,2.8,6.6,1.4999999999999996,266.66666666666663
2,VR,1.0,1.4,2.2,5.2,1.3399999999999996,420.0
4,VR,2.4,1.4,1.8,1.4,-0.25999999999999995,-41.66666666666667
6,VR,2.2,1.6,5.4,4.4,1.04,100.0
8,VR,1.8,2.0,2.2,2.0,0.07999999999999999,11.111111111111107
9,VR,1.3333333333333333,1.25,2.0,1.6,0.15500000000000003,20.00000000000001
12,VR,4.0,2.6,1.8,1.8,-0.7399999999999999,-55.00000000000001
13,VR,3.6,3.2,25.2,3.4,2.14,-5.55555555555556
16,VR,2.6,2.6,3.6,1.0,-0.38,-61.53846153846154
18,VR,3.0,2.0,0.0,1.5,-0.6499999999999998,-50.0
20,VR,1.2,3.0,3.6,2.4,0.4199999999999999,100.0
21,VR,2.8,4.2,3.8,6.0,0.9199999999999998,114.2857142857143
23,VR,5.6,8.6,37.2,22.0,7.779999999999999,292.85714285714283
24,VR,0.0,2.6,3.0,3.0,0.9399999999999997,inf
26,VR,1.0,1.8,2.0,3.0,0.6199999999999999,200.0
27,VR,2.0,3.0,2.0,3.0,0.19999999999999993,50.0
28,VR,2.6,1.8,2.6,4.2,0.56,61.53846153846154
31,VR,1.8,2.6,3.4,6.2,1.3999999999999997,244.44444444444446
33,VR,3.2,5.0,5.8,5.4,0.7400000000000001,68.75
36,VR,1.8,5.0,6.0,10.2,2.619999999999999,466.66666666666663
37,VR,1.8,2.4,3.0,3.8,0.6599999999999997,111.1111111111111
41,VR,4.75,25.2,2.0,3.6,-2.6649999999999996,-24.210526315789473
44,VR,1.0,1.6,2.4,4.2,1.0399999999999998,320.0
45,VR,1.2,0.0,2.0,1.2,0.19999999999999998,0.0
48,VR,1.0,1.0,1.6,1.8,0.3,80.0
51,VR,1.6,1.4,8.4,3.6,1.2999999999999996,125.0
53,VR,1.0,1.0,2.2,2.8,0.6599999999999999,179.99999999999997
55,VR,3.0,2.8,1.8,2.0,-0.39999999999999986,-33.33333333333333
57,VR,4.0,3.0,7.4,10.8,2.48,170.00000000000003
60,VR,2.25,4.4,2.0,2.4,-0.19500000000000006,6.6666666666666625
61,RL,15.0,35.2,37.4,64.4,15.04,329.33333333333337
62,RL,100.0,100.0,100.0,100.0,0.0,0.0
63,RL,55.4,40.6,57.6,93.8,13.22,69.31407942238266
64,RL,8.2,14.0,16.8,37.0,8.919999999999998,351.219512195122
65,RL,15.2,14.0,19.4,50.8,11.219999999999997,234.21052631578948
66,RL,22.8,18.2,24.4,52.4,9.499999999999998,129.82456140350877
68,RL,5.4,6.8,6.0,7.2,0.4599999999999998,33.33333333333333
69,RL,15.0,76.4,80.6,74.4,18.24,396.00000000000006
70,RL,90.0,67.4,90.4,86.4,1.220000000000002,-3.999999999999994
71,RL,65.2,96.6,100.0,100.0,10.780000000000001,53.37423312883435
72,RL,33.2,69.4,84.8,90.8,18.819999999999993,173.49397590361443
74,RL,31.2,67.8,90.6,97.8,22.25999999999999,213.46153846153845
76,RL,53.6,93.6,87.2,96.8,12.320000000000002,80.59701492537312
77,RL,81.6,100.0,100.0,100.0,5.520000000000001,22.549019607843146
78,RL,100.0,100.0,100.0,100.0,0.0,0.0
80,RL,13.6,13.8,15.4,34.6,6.460000000000001,154.41176470588235
81,RL,97.4,98.0,99.8,100.0,0.9599999999999979,2.669404517453793
83,RL,7.6,11.4,16.6,18.2,3.6999999999999993,139.47368421052633
84,RL,27.4,38.8,91.2,100.0,27.019999999999996,264.963503649635
86,RL,42.2,100.0,99.8,100.0,17.319999999999993,136.96682464454975
87,RL,4.0,5.2,6.8,11.6,2.439999999999999,190.0
88,RL,6.6,10.2,21.6,23.6,6.24,257.57575757575756
91,RL,80.6,100.0,100.0,100.0,5.82,24.069478908188593
92,RL,15.4,31.2,23.4,57.2,11.76,271.42857142857144
94,RL,7.6,12.6,14.6,30.6,7.099999999999999,302.63157894736844
95,RL,6.8,15.8,15.6,25.0,5.439999999999999,267.6470588235294
98,RL,37.6,54.8,38.8,55.4,3.739999999999999,47.34042553191489
101,RL,15.6,17.4,17.6,18.2,0.7999999999999998,16.666666666666664
103,RL,11.0,12.4,20.0,33.2,7.420000000000001,201.81818181818184
104,RL,90.6,100.0,100.0,100.0,2.8200000000000016,10.375275938189853
